frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529470440.903892000,192.168.43.197,118.190.155.212,45567,8000,0,0,0,0x00000002,,,,
1529470441.352721000,118.190.155.212,192.168.43.197,8000,45567,0,1,0,0x00000012,,0.448829000,,
1529470441.352826000,192.168.43.197,118.190.155.212,45567,8000,1,1,0,0x00000010,,0.000105000,,
1529470441.449484000,118.190.155.212,192.168.43.197,8000,45567,1,1,0,0x00000010,,,1432545462,
1529470441.449921000,118.190.155.212,192.168.43.197,8000,45567,1,1,1228,0x00000010,1228,,1432545462,2287801781
1529470441.449977000,192.168.43.197,118.190.155.212,45567,8000,1,1229,0,0x00000010,,0.000056000,2287676525,
1529470441.450628000,118.190.155.212,192.168.43.197,8000,45567,1229,1,1228,0x00000010,1228,,1432545462,2287803009
1529470441.450690000,192.168.43.197,118.190.155.212,45567,8000,1,2457,0,0x00000010,,0.000062000,2287676525,
1529470441.450634000,118.190.155.212,192.168.43.197,8000,45567,2457,1,1228,0x00000010,1228,,1432545462,2287804237
1529470441.450724000,192.168.43.197,118.190.155.212,45567,8000,1,3685,0,0x00000010,,0.000090000,2287676525,
1529470441.451536000,118.190.155.212,192.168.43.197,8000,45567,3685,1,1228,0x00000010,1228,,1432545462,2287805465
1529470441.451576000,192.168.43.197,118.190.155.212,45567,8000,1,4913,0,0x00000010,,0.000040000,2287676525,
1529470441.457929000,118.190.155.212,192.168.43.197,8000,45567,4913,1,1228,0x00000010,1228,,1432545462,2287806693
1529470441.457991000,192.168.43.197,118.190.155.212,45567,8000,1,6141,0,0x00000010,,0.000062000,2287676525,
1529470441.457934000,118.190.155.212,192.168.43.197,8000,45567,6141,1,1228,0x00000018,1228,,1432545462,2287807921
1529470441.458024000,192.168.43.197,118.190.155.212,45567,8000,1,7369,0,0x00000010,,0.000090000,2287676525,
1529470441.461340000,118.190.155.212,192.168.43.197,8000,45567,7369,1,1228,0x00000010,1228,,1432545462,2287809149
1529470441.461402000,192.168.43.197,118.190.155.212,45567,8000,1,8597,0,0x00000010,,0.000062000,2287681437,
1529470441.461346000,118.190.155.212,192.168.43.197,8000,45567,8597,1,1228,0x00000010,1228,,1432545462,2287810377
