frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529470680.703986000,192.168.43.14,118.190.155.212,55188,8000,0,0,0,0x00000002,,,,
1529470680.928482000,118.190.155.212,192.168.43.14,8000,55188,0,1,0,0x00000012,,0.224496000,,
1529470680.928575000,192.168.43.14,118.190.155.212,55188,8000,1,1,0,0x00000010,,0.000093000,2651347736,
1529470680.928606000,192.168.43.14,118.190.155.212,55188,8000,1,1,0,0x00000010,,,2651347736,
1529470680.928807000,192.168.43.14,118.190.155.212,55188,8000,1,1,128,0x00000018,128,,2651347736,2617688963
1529470680.988607000,118.190.155.212,192.168.43.14,8000,55188,1,129,0,0x00000010,,0.059800000,2617689091,
1529470680.988613000,118.190.155.212,192.168.43.14,8000,55188,1,129,206,0x00000018,206,,2617689091,2651347736
1529470680.988693000,192.168.43.14,118.190.155.212,55188,8000,129,207,0,0x00000010,,0.000080000,2651347942,
1529470680.990084000,118.190.155.212,192.168.43.14,8000,55188,207,129,1228,0x00000010,1228,,2617689091,2651347942
1529470680.990141000,192.168.43.14,118.190.155.212,55188,8000,129,1435,0,0x00000010,,0.000057000,2651349170,
1529470680.994424000,118.190.155.212,192.168.43.14,8000,55188,1435,129,1228,0x00000010,1228,,2617689091,2651349170
1529470680.994481000,192.168.43.14,118.190.155.212,55188,8000,129,2663,0,0x00000010,,0.000057000,2651350398,
1529470681.014922000,118.190.155.212,192.168.43.14,8000,55188,2663,129,1228,0x00000010,1228,,2617689091,2651350398
1529470681.014969000,192.168.43.14,118.190.155.212,55188,8000,129,3891,0,0x00000010,,0.000047000,2651351626,
1529470681.134224000,118.190.155.212,192.168.43.14,8000,55188,3891,129,1228,0x00000010,1228,,2617689091,2651351626
1529470681.134289000,192.168.43.14,118.190.155.212,55188,8000,129,5119,0,0x00000010,,0.000065000,2651352854,
1529470681.140092000,118.190.155.212,192.168.43.14,8000,55188,5119,129,1228,0x00000010,1228,,2617689091,2651352854
