frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529470801.073823000,192.168.43.197,118.190.155.212,37609,8000,0,0,0,0x00000002,,,,
1529470801.456782000,118.190.155.212,192.168.43.197,8000,37609,0,1,0,0x00000012,,0.382959000,,
1529470801.456862000,192.168.43.197,118.190.155.212,37609,8000,1,1,0,0x00000010,,0.000080000,,
1529470801.580804000,118.190.155.212,192.168.43.197,8000,37609,1,1,0,0x00000010,,,3826777333,
1529470801.580963000,118.190.155.212,192.168.43.197,8000,37609,1,1,1228,0x00000010,1228,,3826777333,1183572345
1529470801.581001000,192.168.43.197,118.190.155.212,37609,8000,1,1229,0,0x00000010,,0.000038000,1183455685,
1529470801.591731000,118.190.155.212,192.168.43.197,8000,37609,1229,1,1228,0x00000010,1228,,3826777333,1183573573
1529470801.591780000,192.168.43.197,118.190.155.212,37609,8000,1,2457,0,0x00000010,,0.000049000,1183460597,
1529470801.697139000,118.190.155.212,192.168.43.197,8000,37609,2457,1,1228,0x00000010,1228,,3826777333,1183574801
1529470801.697200000,192.168.43.197,118.190.155.212,37609,8000,1,3685,0,0x00000010,,0.000061000,1183504805,
1529470801.697145000,118.190.155.212,192.168.43.197,8000,37609,3685,1,1228,0x00000010,1228,,3826777333,1183576029
1529470801.697235000,192.168.43.197,118.190.155.212,37609,8000,1,4913,0,0x00000010,,0.000090000,1183504805,
1529470801.697886000,118.190.155.212,192.168.43.197,8000,37609,4913,1,1228,0x00000010,1228,,3826777333,1183577257
1529470801.697948000,192.168.43.197,118.190.155.212,37609,8000,1,6141,0,0x00000010,,0.000062000,1183504805,
1529470801.697892000,118.190.155.212,192.168.43.197,8000,37609,6141,1,1228,0x00000010,1228,,3826777333,1183578485
1529470801.697985000,192.168.43.197,118.190.155.212,37609,8000,1,7369,0,0x00000010,,0.000093000,1183504805,
1529470801.698018000,118.190.155.212,192.168.43.197,8000,37609,7369,1,1228,0x00000010,1228,,3826777333,1183579713
1529470801.698043000,192.168.43.197,118.190.155.212,37609,8000,1,8597,0,0x00000010,,0.000025000,1183504805,
1529470801.698211000,118.190.155.212,192.168.43.197,8000,37609,8597,1,1228,0x00000010,1228,,3826777333,1183580941
1529470801.698251000,192.168.43.197,118.190.155.212,37609,8000,1,9825,0,0x00000010,,0.000040000,1183504805,
1529470801.698310000,118.190.155.212,192.168.43.197,8000,37609,9825,1,1228,0x00000010,1228,,3826777333,1183582169
1529470801.698323000,192.168.43.197,118.190.155.212,37609,8000,1,11053,0,0x00000010,,0.000013000,1183504805,
1529470801.698446000,118.190.155.212,192.168.43.197,8000,37609,11053,1,1228,0x00000010,1228,,3826777333,1183583397
1529470801.698457000,192.168.43.197,118.190.155.212,37609,8000,1,12281,0,0x00000010,,0.000011000,1183504805,
1529470801.703958000,118.190.155.212,192.168.43.197,8000,37609,12281,1,1228,0x00000010,1228,,3826777333,1183660761
1529470801.703997000,118.190.155.212,192.168.43.197,8000,37609,13509,1,1228,0x00000010,2456,,3826777333,1183661989
1529470801.704013000,192.168.43.197,118.190.155.212,37609,8000,1,13509,0,0x00000010,,0.000055000,1183504805,
1529470801.704059000,192.168.43.197,118.190.155.212,37609,8000,1,14737,0,0x00000010,,0.000062000,1183504805,
1529470801.734432000,118.190.155.212,192.168.43.197,8000,37609,14737,1,1228,0x00000018,1228,,3826777333,1183714793
1529470801.734484000,192.168.43.197,118.190.155.212,37609,8000,1,15965,0,0x00000010,,0.000052000,1183513401,
1529470801.734437000,118.190.155.212,192.168.43.197,8000,37609,15965,1,1228,0x00000010,1228,,3826777333,1183716021
1529470801.734515000,192.168.43.197,118.190.155.212,37609,8000,1,17193,0,0x00000010,,0.000078000,1183513401,
1529470801.822912000,118.190.155.212,192.168.43.197,8000,37609,17193,1,1228,0x00000018,1228,,3826777333,1183781105
1529470801.822955000,192.168.43.197,118.190.155.212,37609,8000,1,18421,0,0x00000010,,0.000043000,1183520769,
1529470801.829485000,118.190.155.212,192.168.43.197,8000,37609,18421,1,1228,0x00000010,1228,,3826777333,1183782333
1529470801.829535000,192.168.43.197,118.190.155.212,37609,8000,1,19649,0,0x00000010,,0.000050000,1183521997,
1529470801.897668000,118.190.155.212,192.168.43.197,8000,37609,19649,1,1228,0x00000010,1228,,3826777333,1183798297
1529470801.897724000,192.168.43.197,118.190.155.212,37609,8000,1,20877,0,0x00000010,,0.000056000,1183531821,
1529470801.905218000,118.190.155.212,192.168.43.197,8000,37609,20877,1,1228,0x00000010,1228,,3826777333,1183799525
1529470801.905275000,192.168.43.197,118.190.155.212,37609,8000,1,22105,0,0x00000010,,0.000057000,1183533049,
1529470802.362539000,118.190.155.212,192.168.43.197,8000,37609,22105,1,1228,0x00000010,1228,,3826777333,1183800753
1529470802.362572000,118.190.155.212,192.168.43.197,8000,37609,23333,1,1228,0x00000010,2456,,3826777333,1183801981
1529470802.362603000,192.168.43.197,118.190.155.212,37609,8000,1,23333,0,0x00000010,,0.000064000,1183673041,
1529470802.362656000,192.168.43.197,118.190.155.212,37609,8000,1,24561,0,0x00000010,,0.000084000,1183673041,
1529470802.363064000,118.190.155.212,192.168.43.197,8000,37609,24561,1,1228,0x00000010,1228,,3826777333,1183803209
1529470802.363121000,192.168.43.197,118.190.155.212,37609,8000,1,25789,0,0x00000010,,0.000057000,1183673041,
1529470802.363259000,118.190.155.212,192.168.43.197,8000,37609,25789,1,1228,0x00000010,1228,,3826777333,1183804437
1529470802.363275000,192.168.43.197,118.190.155.212,37609,8000,1,27017,0,0x00000010,,0.000016000,1183673041,
1529470802.363530000,118.190.155.212,192.168.43.197,8000,37609,27017,1,1228,0x00000010,1228,,3826777333,1183805665
1529470802.363580000,192.168.43.197,118.190.155.212,37609,8000,1,28245,0,0x00000010,,0.000050000,1183673041,
1529470802.363798000,118.190.155.212,192.168.43.197,8000,37609,28245,1,1228,0x00000010,1228,,3826777333,1183806893
1529470802.363840000,192.168.43.197,118.190.155.212,37609,8000,1,29473,0,0x00000010,,0.000042000,1183673041,
1529470802.364045000,118.190.155.212,192.168.43.197,8000,37609,29473,1,1228,0x00000010,1228,,3826777333,1183808121
1529470802.364087000,192.168.43.197,118.190.155.212,37609,8000,1,30701,0,0x00000010,,0.000042000,1183673041,
1529470802.365002000,118.190.155.212,192.168.43.197,8000,37609,30701,1,1228,0x00000010,1228,,3826777333,1183809349
1529470802.365063000,192.168.43.197,118.190.155.212,37609,8000,1,31929,0,0x00000010,,0.000061000,1183673041,
1529470802.365008000,118.190.155.212,192.168.43.197,8000,37609,31929,1,1228,0x00000010,1228,,3826777333,1183810577
1529470802.365096000,192.168.43.197,118.190.155.212,37609,8000,1,33157,0,0x00000010,,0.000088000,1183673041,
1529470802.367525000,118.190.155.212,192.168.43.197,8000,37609,33157,1,1228,0x00000010,1228,,3826777333,1183811805
1529470802.367566000,192.168.43.197,118.190.155.212,37609,8000,1,34385,0,0x00000010,,0.000041000,1183673041,
1529470802.367650000,118.190.155.212,192.168.43.197,8000,37609,34385,1,1228,0x00000010,1228,,3826777333,1183813033
1529470802.367729000,192.168.43.197,118.190.155.212,37609,8000,1,35613,0,0x00000010,,0.000079000,1183673041,
1529470802.367775000,118.190.155.212,192.168.43.197,8000,37609,35613,1,1228,0x00000018,1228,,3826777333,1183814261
1529470802.367796000,192.168.43.197,118.190.155.212,37609,8000,1,36841,0,0x00000010,,0.000021000,1183673041,
1529470802.368672000,118.190.155.212,192.168.43.197,8000,37609,36841,1,1228,0x00000010,1228,,3826777333,1183815489
1529470802.368712000,192.168.43.197,118.190.155.212,37609,8000,1,38069,0,0x00000010,,0.000040000,1183673041,
1529470802.368758000,118.190.155.212,192.168.43.197,8000,37609,38069,1,1228,0x00000010,1228,,3826777333,1183816717
