frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529184946.335395000,192.168.43.236,118.190.155.212,55965,8000,0,0,0,0x00000002,,,,
1529184946.736865000,118.190.155.212,192.168.43.236,8000,55965,0,1,0,0x00000012,,0.401470000,,
1529184946.736908000,192.168.43.236,118.190.155.212,55965,8000,1,1,0,0x00000010,,0.000043000,,
1529184946.816845000,118.190.155.212,192.168.43.236,8000,55965,1,1,0,0x00000010,,,3490973616,
1529184946.817039000,118.190.155.212,192.168.43.236,8000,55965,1,1,1228,0x00000010,1228,,3490973616,1000263099
1529184946.817084000,192.168.43.236,118.190.155.212,55965,8000,1,1229,0,0x00000010,,0.000045000,1000264327,
1529184946.817348000,118.190.155.212,192.168.43.236,8000,55965,1229,1,1228,0x00000010,1228,,3490973616,1000264327
1529184946.817386000,192.168.43.236,118.190.155.212,55965,8000,1,2457,0,0x00000010,,0.000038000,1000265555,
1529184946.817663000,118.190.155.212,192.168.43.236,8000,55965,2457,1,1228,0x00000010,1228,,3490973616,1000265555
1529184946.817700000,192.168.43.236,118.190.155.212,55965,8000,1,3685,0,0x00000010,,0.000037000,1000266783,
1529184946.817911000,118.190.155.212,192.168.43.236,8000,55965,3685,1,1228,0x00000010,1228,,3490973616,1000266783
1529184946.817928000,192.168.43.236,118.190.155.212,55965,8000,1,4913,0,0x00000010,,0.000017000,1000268011,
1529184946.818691000,118.190.155.212,192.168.43.236,8000,55965,4913,1,1228,0x00000010,1228,,3490973616,1000268011
1529184946.818714000,192.168.43.236,118.190.155.212,55965,8000,1,6141,0,0x00000010,,0.000023000,1000269239,
1529184946.819846000,118.190.155.212,192.168.43.236,8000,55965,6141,1,1228,0x00000018,1228,,3490973616,1000269239
1529184946.819861000,192.168.43.236,118.190.155.212,55965,8000,1,7369,0,0x00000010,,0.000015000,1000270467,
1529184946.820406000,118.190.155.212,192.168.43.236,8000,55965,7369,1,1228,0x00000010,1228,,3490973616,1000270467
1529184946.820457000,192.168.43.236,118.190.155.212,55965,8000,1,8597,0,0x00000010,,0.000051000,1000271695,
1529184946.820728000,118.190.155.212,192.168.43.236,8000,55965,8597,1,1228,0x00000010,1228,,3490973616,1000271695
1529184946.820765000,192.168.43.236,118.190.155.212,55965,8000,1,9825,0,0x00000010,,0.000037000,1000272923,
1529184946.821166000,118.190.155.212,192.168.43.236,8000,55965,9825,1,1228,0x00000010,1228,,3490973616,1000272923
1529184946.821203000,192.168.43.236,118.190.155.212,55965,8000,1,11053,0,0x00000010,,0.000037000,1000274151,
1529184946.821558000,118.190.155.212,192.168.43.236,8000,55965,11053,1,1228,0x00000010,1228,,3490973616,1000274151
1529184946.821596000,192.168.43.236,118.190.155.212,55965,8000,1,12281,0,0x00000010,,0.000038000,1000275379,
1529184946.885640000,118.190.155.212,192.168.43.236,8000,55965,12281,1,1228,0x00000010,1228,,3490973616,1000314675
1529184946.885687000,192.168.43.236,118.190.155.212,55965,8000,1,13509,0,0x00000010,,0.000047000,1000315903,
