frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185020.024583000,192.168.43.127,118.190.155.212,47812,8000,0,0,0,0x00000002,,,,
1529185020.468241000,118.190.155.212,192.168.43.127,8000,47812,0,1,0,0x00000012,,0.443658000,,
1529185020.468292000,192.168.43.127,118.190.155.212,47812,8000,1,1,0,0x00000010,,0.000051000,3834944282,
1529185020.468306000,192.168.43.127,118.190.155.212,47812,8000,1,1,0,0x00000010,,,3834944282,
1529185020.468377000,192.168.43.127,118.190.155.212,47812,8000,1,1,125,0x00000018,125,,3834944282,1756190204
1529185020.528179000,118.190.155.212,192.168.43.127,8000,47812,1,126,0,0x00000010,,0.059802000,1756190329,
1529185020.528304000,118.190.155.212,192.168.43.127,8000,47812,1,126,203,0x00000018,203,,1756190329,3834944282
1529185020.528334000,192.168.43.127,118.190.155.212,47812,8000,126,204,0,0x00000010,,0.000030000,3834944485,
1529185020.528962000,118.190.155.212,192.168.43.127,8000,47812,204,126,1228,0x00000010,1228,,1756190329,3834944485
1529185020.528992000,192.168.43.127,118.190.155.212,47812,8000,126,1432,0,0x00000010,,0.000030000,3834945713,
1529185020.529305000,118.190.155.212,192.168.43.127,8000,47812,1432,126,1228,0x00000010,1228,,1756190329,3834945713
1529185020.529338000,192.168.43.127,118.190.155.212,47812,8000,126,2660,0,0x00000010,,0.000033000,3834946941,
1529185020.530266000,118.190.155.212,192.168.43.127,8000,47812,2660,126,1228,0x00000010,1228,,1756190329,3834946941
1529185020.530299000,192.168.43.127,118.190.155.212,47812,8000,126,3888,0,0x00000010,,0.000033000,3834948169,
1529185020.530534000,118.190.155.212,192.168.43.127,8000,47812,3888,126,1228,0x00000010,1228,,1756190329,3834948169
1529185020.530567000,192.168.43.127,118.190.155.212,47812,8000,126,5116,0,0x00000010,,0.000033000,3834949397,
1529185020.542153000,118.190.155.212,192.168.43.127,8000,47812,5116,126,1228,0x00000010,1228,,1756190329,3834949397
1529185020.542205000,192.168.43.127,118.190.155.212,47812,8000,126,6344,0,0x00000010,,0.000052000,3834950625,
1529185020.542245000,118.190.155.212,192.168.43.127,8000,47812,6344,126,1228,0x00000010,1228,,1756190329,3834950625
1529185020.542268000,192.168.43.127,118.190.155.212,47812,8000,126,7572,0,0x00000010,,0.000023000,3834951853,
1529185020.542551000,118.190.155.212,192.168.43.127,8000,47812,7572,126,1228,0x00000010,1228,,1756190329,3834951853
1529185020.542578000,192.168.43.127,118.190.155.212,47812,8000,126,8800,0,0x00000010,,0.000027000,3834953081,
1529185020.543048000,118.190.155.212,192.168.43.127,8000,47812,8800,126,1228,0x00000010,1228,,1756190329,3834953081
1529185020.543070000,118.190.155.212,192.168.43.127,8000,47812,10028,126,1228,0x00000010,2456,,1756190329,3834954309
1529185020.543106000,192.168.43.127,118.190.155.212,47812,8000,126,10028,0,0x00000010,,0.000058000,3834954309,
1529185020.543149000,192.168.43.127,118.190.155.212,47812,8000,126,11256,0,0x00000010,,0.000079000,3834955537,
1529185020.562212000,118.190.155.212,192.168.43.127,8000,47812,11256,126,1228,0x00000010,1228,,1756190329,3834955537
1529185020.562273000,192.168.43.127,118.190.155.212,47812,8000,126,12484,0,0x00000010,,0.000061000,3834956765,
1529185020.587617000,118.190.155.212,192.168.43.127,8000,47812,12484,126,1228,0x00000010,1228,,1756190329,3834956765
1529185020.587682000,192.168.43.127,118.190.155.212,47812,8000,126,13712,0,0x00000010,,0.000065000,3834957993,
1529185020.598350000,118.190.155.212,192.168.43.127,8000,47812,13712,126,1228,0x00000018,1228,,1756190329,3834957993
1529185020.598419000,192.168.43.127,118.190.155.212,47812,8000,126,14940,0,0x00000010,,0.000069000,3834959221,
1529185020.598431000,118.190.155.212,192.168.43.127,8000,47812,14940,126,1228,0x00000010,1228,,1756190329,3834959221
1529185020.598486000,192.168.43.127,118.190.155.212,47812,8000,126,16168,0,0x00000010,,0.000055000,3834960449,
