frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185051.309585000,192.168.43.236,118.190.155.212,36647,8000,0,0,0,0x00000002,,,,
1529185051.664435000,118.190.155.212,192.168.43.236,8000,36647,0,1,0,0x00000012,,0.354850000,,
1529185051.664514000,192.168.43.236,118.190.155.212,36647,8000,1,1,0,0x00000010,,0.000079000,,
1529185051.704762000,118.190.155.212,192.168.43.236,8000,36647,1,1,0,0x00000010,,,3143468705,
1529185051.705282000,118.190.155.212,192.168.43.236,8000,36647,1,1,1228,0x00000018,1228,,3143468705,2372153457
1529185051.705338000,192.168.43.236,118.190.155.212,36647,8000,1,1229,0,0x00000010,,0.000056000,2372141177,
1529185051.705473000,118.190.155.212,192.168.43.236,8000,36647,1229,1,1228,0x00000010,1228,,3143468705,2372154685
1529185051.705491000,192.168.43.236,118.190.155.212,36647,8000,1,2457,0,0x00000010,,0.000018000,2372141177,
1529185051.706969000,118.190.155.212,192.168.43.236,8000,36647,2457,1,1228,0x00000010,1228,,3143468705,2372155913
1529185051.707026000,192.168.43.236,118.190.155.212,36647,8000,1,3685,0,0x00000010,,0.000057000,2372141177,
1529185051.707056000,118.190.155.212,192.168.43.236,8000,36647,3685,1,1228,0x00000010,1228,,3143468705,2372157141
1529185051.707093000,192.168.43.236,118.190.155.212,36647,8000,1,4913,0,0x00000010,,0.000037000,2372141177,
1529185051.708172000,118.190.155.212,192.168.43.236,8000,36647,4913,1,1228,0x00000010,1228,,3143468705,2372158369
1529185051.708233000,192.168.43.236,118.190.155.212,36647,8000,1,6141,0,0x00000010,,0.000061000,2372141177,
1529185051.708177000,118.190.155.212,192.168.43.236,8000,36647,6141,1,1228,0x00000010,1228,,3143468705,2372159597
1529185051.708267000,192.168.43.236,118.190.155.212,36647,8000,1,7369,0,0x00000010,,0.000090000,2372141177,
1529185051.708369000,118.190.155.212,192.168.43.236,8000,36647,7369,1,1228,0x00000010,1228,,3143468705,2372160825
1529185051.708382000,192.168.43.236,118.190.155.212,36647,8000,1,8597,0,0x00000010,,0.000013000,2372141177,
1529185051.713235000,118.190.155.212,192.168.43.236,8000,36647,8597,1,1228,0x00000010,1228,,3143468705,2372162053
1529185051.713296000,192.168.43.236,118.190.155.212,36647,8000,1,9825,0,0x00000010,,0.000061000,2372141177,
1529185051.713240000,118.190.155.212,192.168.43.236,8000,36647,9825,1,1228,0x00000010,1228,,3143468705,2372163281
1529185051.713329000,192.168.43.236,118.190.155.212,36647,8000,1,11053,0,0x00000010,,0.000089000,2372141177,
1529185051.714289000,118.190.155.212,192.168.43.236,8000,36647,11053,1,1228,0x00000010,1228,,3143468705,2372164509
1529185051.714346000,192.168.43.236,118.190.155.212,36647,8000,1,12281,0,0x00000010,,0.000057000,2372141177,
1529185051.744106000,118.190.155.212,192.168.43.236,8000,36647,12281,1,1228,0x00000010,1228,,3143468705,2372170649
1529185051.744150000,192.168.43.236,118.190.155.212,36647,8000,1,13509,0,0x00000010,,0.000044000,2372168193,
1529185051.749339000,118.190.155.212,192.168.43.236,8000,36647,13509,1,1228,0x00000010,1228,,3143468705,2372171877
1529185051.749376000,192.168.43.236,118.190.155.212,36647,8000,1,14737,0,0x00000010,,0.000037000,2372169421,
1529185051.755848000,118.190.155.212,192.168.43.236,8000,36647,14737,1,1228,0x00000010,1228,,3143468705,2372173105
1529185051.755899000,192.168.43.236,118.190.155.212,36647,8000,1,15965,0,0x00000010,,0.000051000,2372174333,
1529185051.755990000,118.190.155.212,192.168.43.236,8000,36647,15965,1,1228,0x00000010,1228,,3143468705,2372174333
1529185051.756026000,192.168.43.236,118.190.155.212,36647,8000,1,17193,0,0x00000010,,0.000036000,2372175561,
1529185051.756584000,118.190.155.212,192.168.43.236,8000,36647,17193,1,1228,0x00000010,1228,,3143468705,2372175561
1529185051.756637000,192.168.43.236,118.190.155.212,36647,8000,1,18421,0,0x00000010,,0.000053000,2372176789,
1529185051.756724000,118.190.155.212,192.168.43.236,8000,36647,18421,1,1228,0x00000010,1228,,3143468705,2372176789
1529185051.756748000,192.168.43.236,118.190.155.212,36647,8000,1,19649,0,0x00000010,,0.000024000,2372178017,
1529185051.757667000,118.190.155.212,192.168.43.236,8000,36647,19649,1,1228,0x00000010,1228,,3143468705,2372178017
1529185051.757690000,192.168.43.236,118.190.155.212,36647,8000,1,20877,0,0x00000010,,0.000023000,2372179245,
1529185051.757922000,118.190.155.212,192.168.43.236,8000,36647,20877,1,1228,0x00000010,1228,,3143468705,2372179245
1529185051.757956000,192.168.43.236,118.190.155.212,36647,8000,1,22105,0,0x00000010,,0.000034000,2372180473,
1529185051.758046000,118.190.155.212,192.168.43.236,8000,36647,22105,1,1228,0x00000010,1228,,3143468705,2372180473
1529185051.758068000,192.168.43.236,118.190.155.212,36647,8000,1,23333,0,0x00000010,,0.000022000,2372181701,
1529185051.769479000,118.190.155.212,192.168.43.236,8000,36647,23333,1,1228,0x00000010,1228,,3143468705,2372181701
1529185051.769506000,192.168.43.236,118.190.155.212,36647,8000,1,24561,0,0x00000010,,0.000027000,2372182929,
1529185051.784267000,118.190.155.212,192.168.43.236,8000,36647,24561,1,1228,0x00000010,1228,,3143468705,2372197665
1529185051.784306000,192.168.43.236,118.190.155.212,36647,8000,1,25789,0,0x00000010,,0.000039000,2372184157,
1529185051.790646000,118.190.155.212,192.168.43.236,8000,36647,25789,1,1228,0x00000010,1228,,3143468705,2372198893
1529185051.790714000,192.168.43.236,118.190.155.212,36647,8000,1,27017,0,0x00000010,,0.000068000,2372184157,
