frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185875.947696000,192.168.43.236,118.190.155.212,38517,8000,0,0,0,0x00000002,,,,
1529185876.142570000,118.190.155.212,192.168.43.236,8000,38517,0,1,0,0x00000012,,0.194874000,,
1529185876.142687000,192.168.43.236,118.190.155.212,38517,8000,1,1,0,0x00000010,,0.000117000,,
1529185876.177386000,118.190.155.212,192.168.43.236,8000,38517,1,1,0,0x00000010,,,2789434267,
1529185876.180798000,118.190.155.212,192.168.43.236,8000,38517,1,1,1228,0x00000010,1228,,2789434267,2927227434
1529185876.180847000,192.168.43.236,118.190.155.212,38517,8000,1,1229,0,0x00000010,,0.000049000,2927214702,
1529185876.180906000,118.190.155.212,192.168.43.236,8000,38517,1229,1,1228,0x00000010,1228,,2789434267,2927228662
1529185876.180930000,192.168.43.236,118.190.155.212,38517,8000,1,2457,0,0x00000010,,0.000024000,2927214702,
1529185876.182739000,118.190.155.212,192.168.43.236,8000,38517,2457,1,1228,0x00000010,1228,,2789434267,2927229890
1529185876.182804000,192.168.43.236,118.190.155.212,38517,8000,1,3685,0,0x00000010,,0.000065000,2927217158,
1529185876.184209000,118.190.155.212,192.168.43.236,8000,38517,3685,1,1228,0x00000010,1228,,2789434267,2927231118
1529185876.184260000,192.168.43.236,118.190.155.212,38517,8000,1,4913,0,0x00000010,,0.000051000,2927222070,
1529185876.184210000,118.190.155.212,192.168.43.236,8000,38517,4913,1,1228,0x00000010,1228,,2789434267,2927232346
1529185876.184289000,192.168.43.236,118.190.155.212,38517,8000,1,6141,0,0x00000010,,0.000079000,2927222070,
1529185876.184210000,118.190.155.212,192.168.43.236,8000,38517,6141,1,1228,0x00000010,1228,,2789434267,2927233574
1529185876.184308000,192.168.43.236,118.190.155.212,38517,8000,1,7369,0,0x00000010,,0.000098000,2927222070,
1529185876.184211000,118.190.155.212,192.168.43.236,8000,38517,7369,1,1228,0x00000010,1228,,2789434267,2927234802
1529185876.184326000,192.168.43.236,118.190.155.212,38517,8000,1,8597,0,0x00000010,,0.000115000,2927222070,
1529185876.184212000,118.190.155.212,192.168.43.236,8000,38517,8597,1,1228,0x00000010,1228,,2789434267,2927236030
1529185876.184342000,192.168.43.236,118.190.155.212,38517,8000,1,9825,0,0x00000010,,0.000130000,2927222070,
1529185876.184349000,118.190.155.212,192.168.43.236,8000,38517,9825,1,1228,0x00000010,1228,,2789434267,2927237258
