frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529186251.328962000,192.168.43.236,118.190.155.212,52725,8000,0,0,0,0x00000002,,,,
1529186251.434689000,118.190.155.212,192.168.43.236,8000,52725,0,1,0,0x00000012,,0.105727000,,
1529186251.434802000,192.168.43.236,118.190.155.212,52725,8000,1,1,0,0x00000010,,0.000113000,,
1529186251.471994000,118.190.155.212,192.168.43.236,8000,52725,1,1,0,0x00000010,,,1955882898,
1529186251.475451000,118.190.155.212,192.168.43.236,8000,52725,1,1,1228,0x00000010,1228,,1955882898,804984838
1529186251.475506000,192.168.43.236,118.190.155.212,52725,8000,1,1229,0,0x00000010,,0.000055000,804982382,
1529186251.475535000,118.190.155.212,192.168.43.236,8000,52725,1229,1,1228,0x00000010,1228,,1955882898,804986066
1529186251.475575000,192.168.43.236,118.190.155.212,52725,8000,1,2457,0,0x00000010,,0.000040000,804982382,
1529186251.478661000,118.190.155.212,192.168.43.236,8000,52725,2457,1,1228,0x00000010,1228,,1955882898,804987294
1529186251.478735000,192.168.43.236,118.190.155.212,52725,8000,1,3685,0,0x00000010,,0.000074000,804982382,
1529186251.478744000,118.190.155.212,192.168.43.236,8000,52725,4913,1,1228,0x00000010,,,1955882898,804989750
1529186251.478667000,118.190.155.212,192.168.43.236,8000,52725,3685,1,1228,0x00000010,,,1955882898,804988522
1529186251.478785000,192.168.43.236,118.190.155.212,52725,8000,1,3685,0,0x00000010,,,804982382,
1529186251.478745000,118.190.155.212,192.168.43.236,8000,52725,6141,1,1228,0x00000010,3684,,1955882898,804990978
1529186251.478815000,192.168.43.236,118.190.155.212,52725,8000,1,6141,0,0x00000010,,0.000071000,804982382,
1529186251.478836000,192.168.43.236,118.190.155.212,52725,8000,1,7369,0,0x00000010,,0.000091000,804982382,
1529186251.478746000,118.190.155.212,192.168.43.236,8000,52725,7369,1,1228,0x00000010,1228,,1955882898,804992206
1529186251.478861000,192.168.43.236,118.190.155.212,52725,8000,1,8597,0,0x00000010,,0.000115000,804982382,
1529186251.478747000,118.190.155.212,192.168.43.236,8000,52725,8597,1,1228,0x00000010,1228,,1955882898,804993434
1529186251.478881000,192.168.43.236,118.190.155.212,52725,8000,1,9825,0,0x00000010,,0.000134000,804982382,
1529186251.478748000,118.190.155.212,192.168.43.236,8000,52725,9825,1,1228,0x00000018,1228,,1955882898,804994662
1529186251.478900000,192.168.43.236,118.190.155.212,52725,8000,1,11053,0,0x00000010,,0.000152000,804982382,
1529186251.478748000,118.190.155.212,192.168.43.236,8000,52725,11053,1,1228,0x00000010,1228,,1955882898,804995890
1529186251.478919000,192.168.43.236,118.190.155.212,52725,8000,1,12281,0,0x00000010,,0.000171000,804982382,
1529186251.508182000,118.190.155.212,192.168.43.236,8000,52725,12281,1,1228,0x00000010,1228,,1955882898,805013082
1529186251.508217000,192.168.43.236,118.190.155.212,52725,8000,1,13509,0,0x00000010,,0.000035000,805014310,
1529186251.508467000,118.190.155.212,192.168.43.236,8000,52725,13509,1,1228,0x00000010,1228,,1955882898,805014310
1529186251.508494000,192.168.43.236,118.190.155.212,52725,8000,1,14737,0,0x00000010,,0.000027000,805015538,
1529186251.515052000,118.190.155.212,192.168.43.236,8000,52725,14737,1,1228,0x00000010,1228,,1955882898,805015538
1529186251.515085000,192.168.43.236,118.190.155.212,52725,8000,1,15965,0,0x00000010,,0.000033000,805016766,
1529186251.515172000,118.190.155.212,192.168.43.236,8000,52725,15965,1,1228,0x00000010,1228,,1955882898,805016766
1529186251.515194000,192.168.43.236,118.190.155.212,52725,8000,1,17193,0,0x00000010,,0.000022000,805017994,
1529186251.515990000,118.190.155.212,192.168.43.236,8000,52725,17193,1,1228,0x00000010,1228,,1955882898,805017994
1529186251.516025000,192.168.43.236,118.190.155.212,52725,8000,1,18421,0,0x00000010,,0.000035000,805019222,
1529186251.517986000,118.190.155.212,192.168.43.236,8000,52725,18421,1,1228,0x00000010,1228,,1955882898,805019222
1529186251.518019000,192.168.43.236,118.190.155.212,52725,8000,1,19649,0,0x00000010,,0.000033000,805020450,
1529186251.517987000,118.190.155.212,192.168.43.236,8000,52725,19649,1,1228,0x00000010,1228,,1955882898,805020450
1529186251.518054000,192.168.43.236,118.190.155.212,52725,8000,1,20877,0,0x00000010,,0.000067000,805021678,
1529186251.517988000,118.190.155.212,192.168.43.236,8000,52725,20877,1,1228,0x00000010,1228,,1955882898,805021678
1529186251.518070000,192.168.43.236,118.190.155.212,52725,8000,1,22105,0,0x00000010,,0.000082000,805022906,
1529186251.517988000,118.190.155.212,192.168.43.236,8000,52725,22105,1,1228,0x00000010,1228,,1955882898,805022906
1529186251.518090000,192.168.43.236,118.190.155.212,52725,8000,1,23333,0,0x00000010,,0.000102000,805024134,
1529186251.518260000,118.190.155.212,192.168.43.236,8000,52725,23333,1,1228,0x00000010,1228,,1955882898,805024134
1529186251.518283000,192.168.43.236,118.190.155.212,52725,8000,1,24561,0,0x00000010,,0.000023000,805025362,
1529186251.519576000,118.190.155.212,192.168.43.236,8000,52725,24561,1,1228,0x00000010,1228,,1955882898,805025362
1529186251.519610000,192.168.43.236,118.190.155.212,52725,8000,1,25789,0,0x00000010,,0.000034000,805026590,
1529186251.520112000,118.190.155.212,192.168.43.236,8000,52725,25789,1,1228,0x00000018,1228,,1955882898,805026590
1529186251.520138000,192.168.43.236,118.190.155.212,52725,8000,1,27017,0,0x00000010,,0.000026000,805027818,
1529186251.520778000,118.190.155.212,192.168.43.236,8000,52725,27017,1,1228,0x00000010,1228,,1955882898,805027818
1529186251.520811000,192.168.43.236,118.190.155.212,52725,8000,1,28245,0,0x00000010,,0.000033000,805029046,
1529186251.520914000,118.190.155.212,192.168.43.236,8000,52725,28245,1,1228,0x00000010,1228,,1955882898,805029046
1529186251.520935000,192.168.43.236,118.190.155.212,52725,8000,1,29473,0,0x00000010,,0.000021000,805030274,
1529186251.524256000,118.190.155.212,192.168.43.236,8000,52725,29473,1,1228,0x00000010,1228,,1955882898,805030274
1529186251.524289000,192.168.43.236,118.190.155.212,52725,8000,1,30701,0,0x00000010,,0.000033000,805031502,
1529186251.524257000,118.190.155.212,192.168.43.236,8000,52725,30701,1,1228,0x00000010,1228,,1955882898,805031502
1529186251.524323000,192.168.43.236,118.190.155.212,52725,8000,1,31929,0,0x00000010,,0.000066000,805032730,
1529186251.524411000,118.190.155.212,192.168.43.236,8000,52725,31929,1,1228,0x00000010,1228,,1955882898,805032730
1529186251.524428000,192.168.43.236,118.190.155.212,52725,8000,1,33157,0,0x00000010,,0.000017000,805033958,
1529186251.524412000,118.190.155.212,192.168.43.236,8000,52725,33157,1,1228,0x00000010,1228,,1955882898,805033958
1529186251.524451000,192.168.43.236,118.190.155.212,52725,8000,1,34385,0,0x00000010,,0.000039000,805035186,
1529186251.540413000,118.190.155.212,192.168.43.236,8000,52725,34385,1,1228,0x00000010,1228,,1955882898,805035186
1529186251.540478000,192.168.43.236,118.190.155.212,52725,8000,1,35613,0,0x00000010,,0.000065000,805036414,
1529186251.541749000,118.190.155.212,192.168.43.236,8000,52725,35613,1,1228,0x00000010,1228,,1955882898,805036414
1529186251.541789000,192.168.43.236,118.190.155.212,52725,8000,1,36841,0,0x00000010,,0.000040000,805037642,
1529186251.546617000,118.190.155.212,192.168.43.236,8000,52725,36841,1,1228,0x00000010,1228,,1955882898,805037642
1529186251.546662000,192.168.43.236,118.190.155.212,52725,8000,1,38069,0,0x00000010,,0.000045000,805038870,
1529186251.546620000,118.190.155.212,192.168.43.236,8000,52725,38069,1,1228,0x00000010,1228,,1955882898,805038870
1529186251.546710000,192.168.43.236,118.190.155.212,52725,8000,1,39297,0,0x00000010,,0.000090000,805040098,
1529186251.563852000,118.190.155.212,192.168.43.236,8000,52725,39297,1,1228,0x00000010,1228,,1955882898,805041326
1529186251.563900000,192.168.43.236,118.190.155.212,52725,8000,1,40525,0,0x00000010,,0.000048000,805042554,
1529186251.563853000,118.190.155.212,192.168.43.236,8000,52725,40525,1,1228,0x00000010,1228,,1955882898,805042554
1529186251.563925000,192.168.43.236,118.190.155.212,52725,8000,1,41753,0,0x00000010,,0.000072000,805043782,
1529186251.564386000,118.190.155.212,192.168.43.236,8000,52725,41753,1,1228,0x00000010,1228,,1955882898,805043782
1529186251.564436000,192.168.43.236,118.190.155.212,52725,8000,1,42981,0,0x00000010,,0.000050000,805045010,
1529186251.564390000,118.190.155.212,192.168.43.236,8000,52725,42981,1,1228,0x00000010,1228,,1955882898,805045010
1529186251.564461000,192.168.43.236,118.190.155.212,52725,8000,1,44209,0,0x00000010,,0.000071000,805046238,
1529186251.566980000,118.190.155.212,192.168.43.236,8000,52725,44209,1,1228,0x00000010,1228,,1955882898,805046238
1529186251.567012000,192.168.43.236,118.190.155.212,52725,8000,1,45437,0,0x00000010,,0.000032000,805047466,
1529186251.566981000,118.190.155.212,192.168.43.236,8000,52725,45437,1,1228,0x00000010,1228,,1955882898,805047466
1529186251.567037000,192.168.43.236,118.190.155.212,52725,8000,1,46665,0,0x00000010,,0.000056000,805048694,
1529186251.566982000,118.190.155.212,192.168.43.236,8000,52725,46665,1,1228,0x00000010,1228,,1955882898,805048694
1529186251.567072000,192.168.43.236,118.190.155.212,52725,8000,1,47893,0,0x00000010,,0.000090000,805049922,
1529186251.566982000,118.190.155.212,192.168.43.236,8000,52725,47893,1,1228,0x00000018,1228,,1955882898,805049922
1529186251.567087000,192.168.43.236,118.190.155.212,52725,8000,1,49121,0,0x00000010,,0.000105000,805051150,
1529186251.566982000,118.190.155.212,192.168.43.236,8000,52725,49121,1,1228,0x00000010,1228,,1955882898,805051150
1529186251.567100000,192.168.43.236,118.190.155.212,52725,8000,1,50349,0,0x00000010,,0.000118000,805052378,
1529186251.567256000,118.190.155.212,192.168.43.236,8000,52725,50349,1,1228,0x00000010,1228,,1955882898,805052378
1529186251.567273000,192.168.43.236,118.190.155.212,52725,8000,1,51577,0,0x00000010,,0.000017000,805053606,
1529186251.567256000,118.190.155.212,192.168.43.236,8000,52725,51577,1,1228,0x00000010,1228,,1955882898,805053606
1529186251.567287000,192.168.43.236,118.190.155.212,52725,8000,1,52805,0,0x00000010,,0.000031000,805057290,
