frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529186355.600506000,192.168.43.127,118.190.155.212,48590,8000,0,0,0,0x00000002,,,,
1529186355.686679000,118.190.155.212,192.168.43.127,8000,48590,0,1,0,0x00000012,,0.086173000,,
1529186355.686743000,192.168.43.127,118.190.155.212,48590,8000,1,1,0,0x00000010,,0.000064000,2143429948,
1529186355.686762000,192.168.43.127,118.190.155.212,48590,8000,1,1,0,0x00000010,,,2143429948,
1529186355.686854000,192.168.43.127,118.190.155.212,48590,8000,1,1,124,0x00000018,124,,2143429948,2296742438
1529186355.776673000,118.190.155.212,192.168.43.127,8000,48590,1,125,0,0x00000010,,0.089819000,2296742562,
1529186355.776679000,118.190.155.212,192.168.43.127,8000,48590,1,125,202,0x00000018,202,,2296742562,2143429948
1529186355.776769000,192.168.43.127,118.190.155.212,48590,8000,125,203,0,0x00000010,,0.000090000,2143430150,
1529186355.778000000,118.190.155.212,192.168.43.127,8000,48590,203,125,1228,0x00000010,1228,,2296742562,2143430150
1529186355.778058000,192.168.43.127,118.190.155.212,48590,8000,125,1431,0,0x00000010,,0.000058000,2143431378,
1529186355.778001000,118.190.155.212,192.168.43.127,8000,48590,1431,125,1228,0x00000010,1228,,2296742562,2143431378
1529186355.778096000,192.168.43.127,118.190.155.212,48590,8000,125,2659,0,0x00000010,,0.000095000,2143432606,
1529186355.780153000,118.190.155.212,192.168.43.127,8000,48590,2659,125,1228,0x00000010,1228,,2296742562,2143432606
1529186355.780223000,192.168.43.127,118.190.155.212,48590,8000,125,3887,0,0x00000010,,0.000070000,2143433834,
1529186355.780159000,118.190.155.212,192.168.43.127,8000,48590,3887,125,1228,0x00000010,1228,,2296742562,2143433834
1529186355.780263000,192.168.43.127,118.190.155.212,48590,8000,125,5115,0,0x00000010,,0.000104000,2143435062,
1529186355.780272000,118.190.155.212,192.168.43.127,8000,48590,5115,125,1228,0x00000010,1228,,2296742562,2143435062
1529186355.780309000,192.168.43.127,118.190.155.212,48590,8000,125,6343,0,0x00000010,,0.000037000,2143436290,
1529186355.780408000,118.190.155.212,192.168.43.127,8000,48590,6343,125,1228,0x00000010,1228,,2296742562,2143436290
1529186355.780445000,192.168.43.127,118.190.155.212,48590,8000,125,7571,0,0x00000010,,0.000037000,2143437518,
1529186355.780552000,118.190.155.212,192.168.43.127,8000,48590,7571,125,1228,0x00000010,1228,,2296742562,2143437518
1529186355.780576000,192.168.43.127,118.190.155.212,48590,8000,125,8799,0,0x00000010,,0.000024000,2143438746,
1529186355.781500000,118.190.155.212,192.168.43.127,8000,48590,8799,125,1228,0x00000010,1228,,2296742562,2143438746
1529186355.781548000,192.168.43.127,118.190.155.212,48590,8000,125,10027,0,0x00000010,,0.000048000,2143439974,
1529186355.781606000,118.190.155.212,192.168.43.127,8000,48590,10027,125,1228,0x00000010,1228,,2296742562,2143439974
1529186355.781642000,192.168.43.127,118.190.155.212,48590,8000,125,11255,0,0x00000010,,0.000036000,2143441202,
1529186355.837440000,118.190.155.212,192.168.43.127,8000,48590,11255,125,1228,0x00000010,1228,,2296742562,2143441202
1529186355.837498000,192.168.43.127,118.190.155.212,48590,8000,125,12483,0,0x00000010,,0.000058000,2143442430,
1529186355.837624000,118.190.155.212,192.168.43.127,8000,48590,12483,125,1228,0x00000010,1228,,2296742562,2143442430
1529186355.837657000,192.168.43.127,118.190.155.212,48590,8000,125,13711,0,0x00000010,,0.000033000,2143443658,
1529186355.848602000,118.190.155.212,192.168.43.127,8000,48590,13711,125,1228,0x00000018,1228,,2296742562,2143443658
1529186355.848659000,118.190.155.212,192.168.43.127,8000,48590,14939,125,1228,0x00000010,2456,,2296742562,2143444886
1529186355.848667000,192.168.43.127,118.190.155.212,48590,8000,125,14939,0,0x00000010,,0.000065000,2143444886,
1529186355.848717000,192.168.43.127,118.190.155.212,48590,8000,125,16167,0,0x00000010,,0.000058000,2143446114,
1529186355.849433000,118.190.155.212,192.168.43.127,8000,48590,16167,125,1228,0x00000010,1228,,2296742562,2143446114
1529186355.849494000,192.168.43.127,118.190.155.212,48590,8000,125,17395,0,0x00000010,,0.000061000,2143447342,
1529186355.849437000,118.190.155.212,192.168.43.127,8000,48590,17395,125,1228,0x00000010,1228,,2296742562,2143447342
1529186355.849527000,192.168.43.127,118.190.155.212,48590,8000,125,18623,0,0x00000010,,0.000090000,2143448570,
1529186355.850531000,118.190.155.212,192.168.43.127,8000,48590,18623,125,1228,0x00000010,1228,,2296742562,2143448570
1529186355.850580000,192.168.43.127,118.190.155.212,48590,8000,125,19851,0,0x00000010,,0.000049000,2143449798,
1529186355.854299000,118.190.155.212,192.168.43.127,8000,48590,19851,125,1228,0x00000010,1228,,2296742562,2143449798
1529186355.854357000,192.168.43.127,118.190.155.212,48590,8000,125,21079,0,0x00000010,,0.000058000,2143451026,
1529186355.854389000,118.190.155.212,192.168.43.127,8000,48590,21079,125,1228,0x00000010,1228,,2296742562,2143451026
1529186355.854428000,192.168.43.127,118.190.155.212,48590,8000,125,22307,0,0x00000010,,0.000039000,2143452254,
1529186355.855184000,118.190.155.212,192.168.43.127,8000,48590,22307,125,1228,0x00000018,1228,,2296742562,2143452254
1529186355.855244000,192.168.43.127,118.190.155.212,48590,8000,125,23535,0,0x00000010,,0.000060000,2143453482,
1529186355.855188000,118.190.155.212,192.168.43.127,8000,48590,23535,125,1228,0x00000010,1228,,2296742562,2143453482
