frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529184938.004421000,118.190.155.212,192.168.43.127,8000,47744,1,1,1228,0x00000010,1228,,2261375543,4172444230
1529184938.004462000,192.168.43.127,118.190.155.212,47744,8000,1,1229,0,0x00000010,,0.000041000,4172699003,
1529184938.004425000,118.190.155.212,192.168.43.127,8000,47744,1229,1,0,0x00000011,,,2261375543,
1529184938.004487000,192.168.43.127,118.190.155.212,47744,8000,1,1230,0,0x00000011,,0.000062000,4172699003,
1529184938.038346000,118.190.155.212,192.168.43.127,8000,47744,1230,2,0,0x00000010,,0.033859000,2261375543,
1529184945.932379000,192.168.43.127,118.190.155.212,47764,8000,0,0,0,0x00000002,,,,
1529184946.278439000,118.190.155.212,192.168.43.127,8000,47764,0,1,0,0x00000012,,0.346060000,,
1529184946.278501000,192.168.43.127,118.190.155.212,47764,8000,1,1,0,0x00000010,,0.000062000,1000096663,
1529184946.278511000,192.168.43.127,118.190.155.212,47764,8000,1,1,0,0x00000010,,,1000096663,
1529184946.278567000,192.168.43.127,118.190.155.212,47764,8000,1,1,126,0x00000018,126,,1000096663,3490973490
1529184946.335228000,118.190.155.212,192.168.43.127,8000,47764,1,127,0,0x00000010,,0.056661000,3490973616,
1529184946.335233000,118.190.155.212,192.168.43.127,8000,47764,1,127,204,0x00000018,204,,3490973616,1000096663
1529184946.335315000,192.168.43.127,118.190.155.212,47764,8000,127,205,0,0x00000010,,0.000082000,1000096867,
1529184946.335651000,118.190.155.212,192.168.43.127,8000,47764,205,127,1228,0x00000010,1228,,3490973616,1000096867
1529184946.335709000,192.168.43.127,118.190.155.212,47764,8000,127,1433,0,0x00000010,,0.000058000,1000098095,
1529184946.336210000,118.190.155.212,192.168.43.127,8000,47764,1433,127,1228,0x00000010,1228,,3490973616,1000098095
1529184946.336260000,192.168.43.127,118.190.155.212,47764,8000,127,2661,0,0x00000010,,0.000050000,1000099323,
