frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185140.511676000,192.168.43.127,118.190.155.212,47892,8000,0,0,0,0x00000002,,,,
1529185140.937115000,118.190.155.212,192.168.43.127,8000,47892,0,1,0,0x00000012,,0.425439000,,
1529185140.937194000,192.168.43.127,118.190.155.212,47892,8000,1,1,0,0x00000010,,0.000079000,866857944,
1529185140.937222000,192.168.43.127,118.190.155.212,47892,8000,1,1,0,0x00000010,,,866857944,
1529185140.937331000,192.168.43.127,118.190.155.212,47892,8000,1,1,124,0x00000018,124,,866857944,2510016013
1529185141.028028000,118.190.155.212,192.168.43.127,8000,47892,1,125,0,0x00000010,,0.090697000,2510016137,
1529185141.028132000,118.190.155.212,192.168.43.127,8000,47892,1,125,202,0x00000018,202,,2510016137,866857944
1529185141.028232000,192.168.43.127,118.190.155.212,47892,8000,125,203,0,0x00000010,,0.000100000,866858146,
1529185141.029719000,118.190.155.212,192.168.43.127,8000,47892,203,125,1228,0x00000010,1228,,2510016137,866858146
1529185141.029786000,192.168.43.127,118.190.155.212,47892,8000,125,1431,0,0x00000010,,0.000067000,866859374,
1529185141.029720000,118.190.155.212,192.168.43.127,8000,47892,1431,125,1228,0x00000010,1228,,2510016137,866859374
1529185141.029824000,192.168.43.127,118.190.155.212,47892,8000,125,2659,0,0x00000010,,0.000104000,866860602,
1529185141.030217000,118.190.155.212,192.168.43.127,8000,47892,2659,125,1228,0x00000010,1228,,2510016137,866860602
1529185141.030267000,192.168.43.127,118.190.155.212,47892,8000,125,3887,0,0x00000010,,0.000050000,866861830,
1529185141.030341000,118.190.155.212,192.168.43.127,8000,47892,3887,125,1228,0x00000010,1228,,2510016137,866861830
1529185141.030376000,192.168.43.127,118.190.155.212,47892,8000,125,5115,0,0x00000010,,0.000035000,866863058,
1529185141.030519000,118.190.155.212,192.168.43.127,8000,47892,5115,125,1228,0x00000010,1228,,2510016137,866863058
1529185141.030551000,192.168.43.127,118.190.155.212,47892,8000,125,6343,0,0x00000010,,0.000032000,866864286,
1529185141.031241000,118.190.155.212,192.168.43.127,8000,47892,6343,125,1228,0x00000010,1228,,2510016137,866864286
1529185141.031308000,192.168.43.127,118.190.155.212,47892,8000,125,7571,0,0x00000010,,0.000067000,866865514,
1529185141.031243000,118.190.155.212,192.168.43.127,8000,47892,7571,125,1228,0x00000010,1228,,2510016137,866865514
1529185141.031346000,192.168.43.127,118.190.155.212,47892,8000,125,8799,0,0x00000010,,0.000103000,866866742,
1529185141.032179000,118.190.155.212,192.168.43.127,8000,47892,8799,125,1228,0x00000010,1228,,2510016137,866866742
1529185141.032229000,192.168.43.127,118.190.155.212,47892,8000,125,10027,0,0x00000010,,0.000050000,866867970,
1529185141.032180000,118.190.155.212,192.168.43.127,8000,47892,10027,125,1228,0x00000010,1228,,2510016137,866867970
1529185141.032263000,192.168.43.127,118.190.155.212,47892,8000,125,11255,0,0x00000010,,0.000083000,866869198,
