frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185170.355356000,192.168.43.127,118.190.155.212,47912,8000,0,0,0,0x00000002,,,,
1529185170.778420000,118.190.155.212,192.168.43.127,8000,47912,0,1,0,0x00000012,,0.423064000,,
1529185170.778525000,192.168.43.127,118.190.155.212,47912,8000,1,1,0,0x00000010,,0.000105000,2184899548,
1529185170.778563000,192.168.43.127,118.190.155.212,47912,8000,1,1,0,0x00000010,,,2184899548,
1529185170.778701000,192.168.43.127,118.190.155.212,47912,8000,1,1,125,0x00000018,125,,2184899548,2388305460
1529185170.882789000,118.190.155.212,192.168.43.127,8000,47912,1,126,0,0x00000010,,0.104088000,2388305585,
1529185170.882796000,118.190.155.212,192.168.43.127,8000,47912,1,126,203,0x00000018,203,,2388305585,2184899548
1529185170.882891000,192.168.43.127,118.190.155.212,47912,8000,126,204,0,0x00000010,,0.000095000,2184899751,
1529185170.883131000,118.190.155.212,192.168.43.127,8000,47912,204,126,1228,0x00000010,1228,,2388305585,2184899751
1529185170.883187000,192.168.43.127,118.190.155.212,47912,8000,126,1432,0,0x00000010,,0.000056000,2184900979,
1529185170.883832000,118.190.155.212,192.168.43.127,8000,47912,1432,126,1228,0x00000010,1228,,2388305585,2184900979
1529185170.883887000,192.168.43.127,118.190.155.212,47912,8000,126,2660,0,0x00000010,,0.000055000,2184902207,
1529185170.884027000,118.190.155.212,192.168.43.127,8000,47912,2660,126,1228,0x00000010,1228,,2388305585,2184902207
1529185170.884056000,192.168.43.127,118.190.155.212,47912,8000,126,3888,0,0x00000010,,0.000029000,2184903435,
1529185170.885004000,118.190.155.212,192.168.43.127,8000,47912,3888,126,1228,0x00000010,1228,,2388305585,2184903435
1529185170.885029000,118.190.155.212,192.168.43.127,8000,47912,5116,126,1228,0x00000010,2456,,2388305585,2184904663
1529185170.885077000,192.168.43.127,118.190.155.212,47912,8000,126,5116,0,0x00000010,,0.000073000,2184904663,
1529185170.885132000,192.168.43.127,118.190.155.212,47912,8000,126,6344,0,0x00000010,,0.000103000,2184905891,
1529185170.885237000,118.190.155.212,192.168.43.127,8000,47912,6344,126,1228,0x00000010,1228,,2388305585,2184905891
1529185170.885270000,192.168.43.127,118.190.155.212,47912,8000,126,7572,0,0x00000010,,0.000033000,2184907119,
1529185170.885514000,118.190.155.212,192.168.43.127,8000,47912,7572,126,1228,0x00000010,1228,,2388305585,2184907119
1529185170.885561000,192.168.43.127,118.190.155.212,47912,8000,126,8800,0,0x00000010,,0.000047000,2184908347,
1529185170.886435000,118.190.155.212,192.168.43.127,8000,47912,8800,126,1228,0x00000010,1228,,2388305585,2184908347
1529185170.886483000,192.168.43.127,118.190.155.212,47912,8000,126,10028,0,0x00000010,,0.000048000,2184909575,
1529185170.886575000,118.190.155.212,192.168.43.127,8000,47912,10028,126,1228,0x00000010,1228,,2388305585,2184909575
1529185170.886617000,192.168.43.127,118.190.155.212,47912,8000,126,11256,0,0x00000010,,0.000042000,2184910803,
1529185170.938477000,118.190.155.212,192.168.43.127,8000,47912,11256,126,1228,0x00000010,1228,,2388305585,2184910803
1529185170.938559000,192.168.43.127,118.190.155.212,47912,8000,126,12484,0,0x00000010,,0.000082000,2184912031,
1529185170.962623000,118.190.155.212,192.168.43.127,8000,47912,12484,126,1228,0x00000010,1228,,2388305585,2184912031
1529185170.962690000,192.168.43.127,118.190.155.212,47912,8000,126,13712,0,0x00000010,,0.000067000,2184913259,
1529185170.962703000,118.190.155.212,192.168.43.127,8000,47912,13712,126,1228,0x00000018,1228,,2388305585,2184913259
1529185170.962757000,192.168.43.127,118.190.155.212,47912,8000,126,14940,0,0x00000010,,0.000054000,2184914487,
1529185170.963075000,118.190.155.212,192.168.43.127,8000,47912,14940,126,1228,0x00000010,1228,,2388305585,2184914487
1529185170.963136000,192.168.43.127,118.190.155.212,47912,8000,126,16168,0,0x00000010,,0.000061000,2184915715,
1529185170.964448000,118.190.155.212,192.168.43.127,8000,47912,16168,126,1228,0x00000010,1228,,2388305585,2184915715
1529185170.964513000,192.168.43.127,118.190.155.212,47912,8000,126,17396,0,0x00000010,,0.000065000,2184916943,
1529185170.964449000,118.190.155.212,192.168.43.127,8000,47912,17396,126,1228,0x00000010,1228,,2388305585,2184916943
1529185170.964553000,192.168.43.127,118.190.155.212,47912,8000,126,18624,0,0x00000010,,0.000104000,2184918171,
1529185170.965178000,118.190.155.212,192.168.43.127,8000,47912,18624,126,1228,0x00000010,1228,,2388305585,2184918171
1529185170.965217000,118.190.155.212,192.168.43.127,8000,47912,19852,126,1228,0x00000010,2456,,2388305585,2184919399
1529185170.965251000,192.168.43.127,118.190.155.212,47912,8000,126,19852,0,0x00000010,,0.000073000,2184919399,
1529185170.965308000,192.168.43.127,118.190.155.212,47912,8000,126,21080,0,0x00000010,,0.000091000,2184920627,
1529185170.965511000,118.190.155.212,192.168.43.127,8000,47912,21080,126,1228,0x00000010,1228,,2388305585,2184920627
1529185170.965557000,192.168.43.127,118.190.155.212,47912,8000,126,22308,0,0x00000010,,0.000046000,2184921855,
1529185170.965656000,118.190.155.212,192.168.43.127,8000,47912,22308,126,1228,0x00000018,1228,,2388305585,2184921855
1529185170.965677000,192.168.43.127,118.190.155.212,47912,8000,126,23536,0,0x00000010,,0.000021000,2184923083,
1529185170.978331000,118.190.155.212,192.168.43.127,8000,47912,23536,126,1228,0x00000010,1228,,2388305585,2184923083
1529185170.978397000,192.168.43.127,118.190.155.212,47912,8000,126,24764,0,0x00000010,,0.000066000,2184924311,
1529185170.978461000,118.190.155.212,192.168.43.127,8000,47912,24764,126,1228,0x00000010,1228,,2388305585,2184924311
1529185170.978487000,192.168.43.127,118.190.155.212,47912,8000,126,25992,0,0x00000010,,0.000026000,2184925539,
1529185171.018178000,118.190.155.212,192.168.43.127,8000,47912,25992,126,1228,0x00000010,1228,,2388305585,2184925539
1529185171.018243000,192.168.43.127,118.190.155.212,47912,8000,126,27220,0,0x00000010,,0.000065000,2184926767,
1529185171.042947000,118.190.155.212,192.168.43.127,8000,47912,27220,126,1228,0x00000010,1228,,2388305585,2184926767
1529185171.043012000,192.168.43.127,118.190.155.212,47912,8000,126,28448,0,0x00000010,,0.000065000,2184927995,
1529185171.043071000,118.190.155.212,192.168.43.127,8000,47912,28448,126,1228,0x00000010,1228,,2388305585,2184927995
1529185171.043104000,192.168.43.127,118.190.155.212,47912,8000,126,29676,0,0x00000010,,0.000033000,2184929223,
1529185171.043562000,118.190.155.212,192.168.43.127,8000,47912,29676,126,1228,0x00000010,1228,,2388305585,2184929223
1529185171.043628000,192.168.43.127,118.190.155.212,47912,8000,126,30904,0,0x00000010,,0.000066000,2184930451,
1529185171.043701000,118.190.155.212,192.168.43.127,8000,47912,30904,126,1228,0x00000010,1228,,2388305585,2184930451
1529185171.043729000,192.168.43.127,118.190.155.212,47912,8000,126,32132,0,0x00000010,,0.000028000,2184931679,
1529185171.044704000,118.190.155.212,192.168.43.127,8000,47912,32132,126,1228,0x00000010,1228,,2388305585,2184931679
1529185171.044738000,118.190.155.212,192.168.43.127,8000,47912,33360,126,1228,0x00000010,2456,,2388305585,2184932907
1529185171.044776000,192.168.43.127,118.190.155.212,47912,8000,126,33360,0,0x00000010,,0.000072000,2184932907,
1529185171.044837000,192.168.43.127,118.190.155.212,47912,8000,126,34588,0,0x00000010,,0.000099000,2184934135,
1529185171.045347000,118.190.155.212,192.168.43.127,8000,47912,34588,126,1228,0x00000018,1228,,2388305585,2184934135
1529185171.045396000,192.168.43.127,118.190.155.212,47912,8000,126,35816,0,0x00000010,,0.000049000,2184935363,
1529185171.045483000,118.190.155.212,192.168.43.127,8000,47912,35816,126,1228,0x00000010,1228,,2388305585,2184935363
1529185171.045504000,192.168.43.127,118.190.155.212,47912,8000,126,37044,0,0x00000010,,0.000021000,2184936591,
1529185171.045757000,118.190.155.212,192.168.43.127,8000,47912,37044,126,1228,0x00000010,1228,,2388305585,2184936591
1529185171.045803000,192.168.43.127,118.190.155.212,47912,8000,126,38272,0,0x00000010,,0.000046000,2184937819,
1529185171.045961000,118.190.155.212,192.168.43.127,8000,47912,38272,126,1228,0x00000010,1228,,2388305585,2184937819
1529185171.046016000,192.168.43.127,118.190.155.212,47912,8000,126,39500,0,0x00000010,,0.000055000,2184939047,
1529185171.046127000,118.190.155.212,192.168.43.127,8000,47912,39500,126,1228,0x00000010,1228,,2388305585,2184939047
1529185171.046149000,192.168.43.127,118.190.155.212,47912,8000,126,40728,0,0x00000010,,0.000022000,2184940275,
1529185171.058084000,118.190.155.212,192.168.43.127,8000,47912,40728,126,1228,0x00000010,1228,,2388305585,2184940275
1529185171.058105000,192.168.43.127,118.190.155.212,47912,8000,126,41956,0,0x00000010,,0.000021000,2184941503,
1529185171.098268000,118.190.155.212,192.168.43.127,8000,47912,41956,126,1228,0x00000010,1228,,2388305585,2184941503
1529185171.098353000,192.168.43.127,118.190.155.212,47912,8000,126,43184,0,0x00000010,,0.000085000,2184942731,
1529185171.123027000,118.190.155.212,192.168.43.127,8000,47912,43184,126,1228,0x00000010,1228,,2388305585,2184942731
1529185171.123084000,192.168.43.127,118.190.155.212,47912,8000,126,44412,0,0x00000010,,0.000057000,2184943959,
1529185171.123235000,118.190.155.212,192.168.43.127,8000,47912,44412,126,1228,0x00000010,1228,,2388305585,2184943959
1529185171.123277000,192.168.43.127,118.190.155.212,47912,8000,126,45640,0,0x00000010,,0.000042000,2184945187,
1529185171.123538000,118.190.155.212,192.168.43.127,8000,47912,45640,126,1228,0x00000010,1228,,2388305585,2184945187
1529185171.123579000,192.168.43.127,118.190.155.212,47912,8000,126,46868,0,0x00000010,,0.000041000,2184946415,
1529185171.123841000,118.190.155.212,192.168.43.127,8000,47912,46868,126,1228,0x00000010,1228,,2388305585,2184946415
1529185171.123883000,192.168.43.127,118.190.155.212,47912,8000,126,48096,0,0x00000010,,0.000042000,2184947643,
1529185171.124159000,118.190.155.212,192.168.43.127,8000,47912,48096,126,1228,0x00000010,1228,,2388305585,2184947643
1529185171.124201000,192.168.43.127,118.190.155.212,47912,8000,126,49324,0,0x00000010,,0.000042000,2184948871,
1529185171.124470000,118.190.155.212,192.168.43.127,8000,47912,49324,126,1228,0x00000018,1228,,2388305585,2184948871
1529185171.124512000,192.168.43.127,118.190.155.212,47912,8000,126,50552,0,0x00000010,,0.000042000,2184950099,
1529185171.124742000,118.190.155.212,192.168.43.127,8000,47912,50552,126,1228,0x00000010,1228,,2388305585,2184950099
1529185171.124778000,192.168.43.127,118.190.155.212,47912,8000,126,51780,0,0x00000010,,0.000036000,2184951327,
1529185171.124946000,118.190.155.212,192.168.43.127,8000,47912,51780,126,1228,0x00000010,1228,,2388305585,2184951327
1529185171.124979000,192.168.43.127,118.190.155.212,47912,8000,126,53008,0,0x00000010,,0.000033000,2184952555,
1529185171.127911000,118.190.155.212,192.168.43.127,8000,47912,53008,126,1228,0x00000010,1228,,2388305585,2184952555
1529185171.127965000,192.168.43.127,118.190.155.212,47912,8000,126,54236,0,0x00000010,,0.000054000,2184953783,
1529185171.128107000,118.190.155.212,192.168.43.127,8000,47912,54236,126,1228,0x00000010,1228,,2388305585,2184953783
1529185171.128140000,192.168.43.127,118.190.155.212,47912,8000,126,55464,0,0x00000010,,0.000033000,2184955011,
1529185171.128319000,118.190.155.212,192.168.43.127,8000,47912,55464,126,1228,0x00000010,1228,,2388305585,2184955011
1529185171.128347000,192.168.43.127,118.190.155.212,47912,8000,126,56692,0,0x00000010,,0.000028000,2184956239,
1529185171.128780000,118.190.155.212,192.168.43.127,8000,47912,56692,126,1228,0x00000010,1228,,2388305585,2184956239
1529185171.128810000,192.168.43.127,118.190.155.212,47912,8000,126,57920,0,0x00000010,,0.000030000,2184957467,
1529185171.138126000,118.190.155.212,192.168.43.127,8000,47912,57920,126,1228,0x00000010,1228,,2388305585,2184957467
1529185171.138176000,192.168.43.127,118.190.155.212,47912,8000,126,59148,0,0x00000010,,0.000050000,2184958695,
1529185171.178048000,118.190.155.212,192.168.43.127,8000,47912,59148,126,1228,0x00000010,1228,,2388305585,2184958695
1529185171.178089000,192.168.43.127,118.190.155.212,47912,8000,126,60376,0,0x00000010,,0.000041000,2184959923,
1529185171.202814000,118.190.155.212,192.168.43.127,8000,47912,60376,126,1228,0x00000010,1228,,2388305585,2184959923
1529185171.202868000,192.168.43.127,118.190.155.212,47912,8000,126,61604,0,0x00000010,,0.000054000,2184961151,
1529185171.202930000,118.190.155.212,192.168.43.127,8000,47912,61604,126,1228,0x00000010,1228,,2388305585,2184961151
1529185171.202950000,192.168.43.127,118.190.155.212,47912,8000,126,62832,0,0x00000010,,0.000020000,2184962379,
1529185171.203409000,118.190.155.212,192.168.43.127,8000,47912,62832,126,1228,0x00000010,1228,,2388305585,2184962379
1529185171.203463000,192.168.43.127,118.190.155.212,47912,8000,126,64060,0,0x00000010,,0.000054000,2184963607,
1529185171.203567000,118.190.155.212,192.168.43.127,8000,47912,64060,126,1228,0x00000018,1228,,2388305585,2184963607
1529185171.203588000,192.168.43.127,118.190.155.212,47912,8000,126,65288,0,0x00000010,,0.000021000,2184964835,
1529185171.204041000,118.190.155.212,192.168.43.127,8000,47912,65288,126,1228,0x00000010,1228,,2388305585,2184964835
1529185171.204094000,192.168.43.127,118.190.155.212,47912,8000,126,66516,0,0x00000010,,0.000053000,2184966063,
1529185171.204194000,118.190.155.212,192.168.43.127,8000,47912,66516,126,1228,0x00000010,1228,,2388305585,2184966063
1529185171.204220000,192.168.43.127,118.190.155.212,47912,8000,126,67744,0,0x00000010,,0.000026000,2184967291,
1529185171.204662000,118.190.155.212,192.168.43.127,8000,47912,67744,126,1228,0x00000010,1228,,2388305585,2184967291
1529185171.204717000,192.168.43.127,118.190.155.212,47912,8000,126,68972,0,0x00000010,,0.000055000,2184968519,
1529185171.204871000,118.190.155.212,192.168.43.127,8000,47912,68972,126,1228,0x00000010,1228,,2388305585,2184968519
1529185171.204892000,192.168.43.127,118.190.155.212,47912,8000,126,70200,0,0x00000010,,0.000021000,2184969747,
1529185171.205925000,118.190.155.212,192.168.43.127,8000,47912,70200,126,1228,0x00000010,1228,,2388305585,2184969747
1529185171.205960000,118.190.155.212,192.168.43.127,8000,47912,71428,126,1228,0x00000010,2456,,2388305585,2184970975
1529185171.205984000,192.168.43.127,118.190.155.212,47912,8000,126,71428,0,0x00000010,,0.000059000,2184970975,
1529185171.206031000,192.168.43.127,118.190.155.212,47912,8000,126,72656,0,0x00000010,,0.000071000,2184972203,
1529185171.206626000,118.190.155.212,192.168.43.127,8000,47912,72656,126,1228,0x00000010,1228,,2388305585,2184972203
1529185171.206680000,192.168.43.127,118.190.155.212,47912,8000,126,73884,0,0x00000010,,0.000054000,2184973431,
1529185171.207349000,118.190.155.212,192.168.43.127,8000,47912,73884,126,1228,0x00000010,1228,,2388305585,2184973431
1529185171.207403000,192.168.43.127,118.190.155.212,47912,8000,126,75112,0,0x00000010,,0.000054000,2184974659,
1529185171.207350000,118.190.155.212,192.168.43.127,8000,47912,75112,126,1228,0x00000018,1228,,2388305585,2184974659
1529185171.207463000,192.168.43.127,118.190.155.212,47912,8000,126,76340,0,0x00000010,,0.000113000,2184975887,
1529185171.218446000,118.190.155.212,192.168.43.127,8000,47912,76340,126,1228,0x00000010,1228,,2388305585,2184975887
1529185171.218507000,192.168.43.127,118.190.155.212,47912,8000,126,77568,0,0x00000010,,0.000061000,2184977115,
1529185171.258300000,118.190.155.212,192.168.43.127,8000,47912,77568,126,1228,0x00000010,1228,,2388305585,2184977115
1529185171.258369000,192.168.43.127,118.190.155.212,47912,8000,126,78796,0,0x00000010,,0.000069000,2184978343,
1529185171.283166000,118.190.155.212,192.168.43.127,8000,47912,78796,126,1228,0x00000010,1228,,2388305585,2184978343
1529185171.283192000,192.168.43.127,118.190.155.212,47912,8000,126,80024,0,0x00000010,,0.000026000,2184979571,
1529185171.283533000,118.190.155.212,192.168.43.127,8000,47912,80024,126,1228,0x00000010,1228,,2388305585,2184979571
1529185171.283572000,192.168.43.127,118.190.155.212,47912,8000,126,81252,0,0x00000010,,0.000039000,2184980799,
1529185171.283839000,118.190.155.212,192.168.43.127,8000,47912,81252,126,1228,0x00000010,1228,,2388305585,2184980799
1529185171.283878000,192.168.43.127,118.190.155.212,47912,8000,126,82480,0,0x00000010,,0.000039000,2184982027,
1529185171.284153000,118.190.155.212,192.168.43.127,8000,47912,82480,126,1228,0x00000010,1228,,2388305585,2184982027
1529185171.284192000,192.168.43.127,118.190.155.212,47912,8000,126,83708,0,0x00000010,,0.000039000,2184983255,
1529185171.284932000,118.190.155.212,192.168.43.127,8000,47912,83708,126,1228,0x00000010,1228,,2388305585,2184983255
1529185171.284972000,192.168.43.127,118.190.155.212,47912,8000,126,84936,0,0x00000010,,0.000040000,2184984483,
1529185171.285057000,118.190.155.212,192.168.43.127,8000,47912,84936,126,1228,0x00000010,1228,,2388305585,2184984483
1529185171.285079000,192.168.43.127,118.190.155.212,47912,8000,126,86164,0,0x00000010,,0.000022000,2184985711,
1529185171.285966000,118.190.155.212,192.168.43.127,8000,47912,86164,126,1228,0x00000010,1228,,2388305585,2184985711
1529185171.286006000,192.168.43.127,118.190.155.212,47912,8000,126,87392,0,0x00000010,,0.000040000,2184986939,
1529185171.286107000,118.190.155.212,192.168.43.127,8000,47912,87392,126,1228,0x00000018,1228,,2388305585,2184986939
1529185171.286131000,192.168.43.127,118.190.155.212,47912,8000,126,88620,0,0x00000010,,0.000024000,2184988167,
1529185171.286352000,118.190.155.212,192.168.43.127,8000,47912,88620,126,1228,0x00000010,1228,,2388305585,2184988167
1529185171.286371000,192.168.43.127,118.190.155.212,47912,8000,126,89848,0,0x00000010,,0.000019000,2184989395,
1529185171.286583000,118.190.155.212,192.168.43.127,8000,47912,89848,126,1228,0x00000010,1228,,2388305585,2184989395
1529185171.286626000,192.168.43.127,118.190.155.212,47912,8000,126,91076,0,0x00000010,,0.000043000,2184990623,
1529185171.286772000,118.190.155.212,192.168.43.127,8000,47912,91076,126,1228,0x00000010,1228,,2388305585,2184990623
1529185171.286814000,192.168.43.127,118.190.155.212,47912,8000,126,92304,0,0x00000010,,0.000042000,2184991851,
1529185171.287808000,118.190.155.212,192.168.43.127,8000,47912,92304,126,1228,0x00000010,1228,,2388305585,2184991851
1529185171.287837000,118.190.155.212,192.168.43.127,8000,47912,93532,126,1228,0x00000010,2456,,2388305585,2184993079
1529185171.287871000,192.168.43.127,118.190.155.212,47912,8000,126,93532,0,0x00000010,,0.000063000,2184993079,
1529185171.287922000,192.168.43.127,118.190.155.212,47912,8000,126,94760,0,0x00000010,,0.000085000,2184994307,
