frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185426.303480000,192.168.43.236,118.190.155.212,53163,8000,0,0,0,0x00000002,,,,
1529185426.664715000,118.190.155.212,192.168.43.236,8000,53163,0,1,0,0x00000012,,0.361235000,,
1529185426.664786000,192.168.43.236,118.190.155.212,53163,8000,1,1,0,0x00000010,,0.000071000,,
1529185426.704187000,118.190.155.212,192.168.43.236,8000,53163,1,1,0,0x00000010,,,527152050,
1529185426.704264000,118.190.155.212,192.168.43.236,8000,53163,1,1,1228,0x00000010,1228,,527152050,3536848956
1529185426.704300000,192.168.43.236,118.190.155.212,53163,8000,1,1229,0,0x00000010,,0.000036000,3536845272,
1529185426.706840000,118.190.155.212,192.168.43.236,8000,53163,1229,1,1228,0x00000010,1228,,527152050,3536850184
1529185426.706898000,192.168.43.236,118.190.155.212,53163,8000,1,2457,0,0x00000010,,0.000058000,3536845272,
1529185426.707733000,118.190.155.212,192.168.43.236,8000,53163,2457,1,1228,0x00000010,1228,,527152050,3536851412
1529185426.707790000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,0.000057000,3536845272,
1529185426.814681000,118.190.155.212,192.168.43.236,8000,53163,4913,1,1228,0x00000010,,,527152050,3536853868
1529185426.814739000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814682000,118.190.155.212,192.168.43.236,8000,53163,6141,1,1228,0x00000010,2456,,527152050,3536855096
1529185426.814770000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814682000,118.190.155.212,192.168.43.236,8000,53163,7369,1,1228,0x00000010,3684,,527152050,3536856324
1529185426.814781000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814682000,118.190.155.212,192.168.43.236,8000,53163,8597,1,1228,0x00000018,4912,,527152050,3536857552
1529185426.814794000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814683000,118.190.155.212,192.168.43.236,8000,53163,9825,1,1228,0x00000010,6140,,527152050,3536858780
1529185426.814804000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814683000,118.190.155.212,192.168.43.236,8000,53163,11053,1,1228,0x00000010,7368,,527152050,3536860008
1529185426.814812000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814684000,118.190.155.212,192.168.43.236,8000,53163,12281,1,1228,0x00000010,8596,,527152050,3536877200
1529185426.814826000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814684000,118.190.155.212,192.168.43.236,8000,53163,13509,1,1228,0x00000010,9824,,527152050,3536878428
1529185426.814834000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.814685000,118.190.155.212,192.168.43.236,8000,53163,14737,1,1228,0x00000010,11052,,527152050,3536879656
1529185426.814840000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.847029000,118.190.155.212,192.168.43.236,8000,53163,14737,1,1228,0x00000010,11052,,527152050,3536879656
1529185426.847070000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.864629000,118.190.155.212,192.168.43.236,8000,53163,15965,1,1228,0x00000010,12280,,527152050,3536909128
1529185426.864671000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.869242000,118.190.155.212,192.168.43.236,8000,53163,17193,1,1228,0x00000010,13508,,527152050,3536910356
1529185426.869273000,192.168.43.236,118.190.155.212,53163,8000,1,3685,0,0x00000010,,,3536852640,
1529185426.869539000,118.190.155.212,192.168.43.236,8000,53163,3685,1,1228,0x00000010,14736,,527152050,3536852640
1529185426.869596000,192.168.43.236,118.190.155.212,53163,8000,1,18421,0,0x00000010,,0.000354000,3536911584,
1529185426.876067000,118.190.155.212,192.168.43.236,8000,53163,18421,1,1228,0x00000010,1228,,527152050,3536914040
1529185426.876120000,192.168.43.236,118.190.155.212,53163,8000,1,19649,0,0x00000010,,0.000053000,3536915268,
1529185426.876184000,118.190.155.212,192.168.43.236,8000,53163,19649,1,1228,0x00000010,1228,,527152050,3536915268
1529185426.876212000,192.168.43.236,118.190.155.212,53163,8000,1,20877,0,0x00000010,,0.000028000,3536916496,
1529185426.907705000,118.190.155.212,192.168.43.236,8000,53163,20877,1,1228,0x00000010,1228,,527152050,3536925092
1529185426.907763000,192.168.43.236,118.190.155.212,53163,8000,1,22105,0,0x00000010,,0.000058000,3536926320,
1529185426.908428000,118.190.155.212,192.168.43.236,8000,53163,22105,1,1228,0x00000010,1228,,527152050,3536926320
1529185426.908445000,118.190.155.212,192.168.43.236,8000,53163,23333,1,1228,0x00000010,2456,,527152050,3536927548
1529185426.908478000,192.168.43.236,118.190.155.212,53163,8000,1,22105,0,0x00000010,,,3536926320,
1529185426.908532000,192.168.43.236,118.190.155.212,53163,8000,1,24561,0,0x00000010,,0.000087000,3536928776,
1529185426.932561000,118.190.155.212,192.168.43.236,8000,53163,24561,1,1228,0x00000010,1228,,527152050,3536928776
1529185426.932615000,192.168.43.236,118.190.155.212,53163,8000,1,25789,0,0x00000010,,0.000054000,3536930004,
1529185426.932565000,118.190.155.212,192.168.43.236,8000,53163,25789,1,1228,0x00000018,1228,,527152050,3536930004
