frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529185695.775507000,192.168.43.127,118.190.155.212,48150,8000,0,0,0,0x00000002,,,,
1529185695.840024000,118.190.155.212,192.168.43.127,8000,48150,0,1,0,0x00000012,,0.064517000,,
1529185695.840123000,192.168.43.127,118.190.155.212,48150,8000,1,1,0,0x00000010,,0.000099000,3502304278,
1529185695.840149000,192.168.43.127,118.190.155.212,48150,8000,1,1,0,0x00000010,,,3502304278,
1529185695.840287000,192.168.43.127,118.190.155.212,48150,8000,1,1,125,0x00000018,125,,3502304278,1418470873
1529185695.928965000,118.190.155.212,192.168.43.127,8000,48150,1,126,0,0x00000010,,0.088678000,1418470998,
1529185695.929965000,118.190.155.212,192.168.43.127,8000,48150,1,126,203,0x00000018,203,,1418470998,3502304278
1529185695.930032000,192.168.43.127,118.190.155.212,48150,8000,126,204,0,0x00000010,,0.000067000,3502304481,
1529185695.931553000,118.190.155.212,192.168.43.127,8000,48150,204,126,1228,0x00000010,1228,,1418470998,3502304481
1529185695.931620000,192.168.43.127,118.190.155.212,48150,8000,126,1432,0,0x00000010,,0.000067000,3502305709,
1529185695.931555000,118.190.155.212,192.168.43.127,8000,48150,1432,126,1228,0x00000010,1228,,1418470998,3502305709
1529185695.931657000,192.168.43.127,118.190.155.212,48150,8000,126,2660,0,0x00000010,,0.000102000,3502306937,
1529185695.932328000,118.190.155.212,192.168.43.127,8000,48150,2660,126,1228,0x00000010,1228,,1418470998,3502306937
1529185695.932394000,192.168.43.127,118.190.155.212,48150,8000,126,3888,0,0x00000010,,0.000066000,3502308165,
1529185695.933250000,118.190.155.212,192.168.43.127,8000,48150,3888,126,1228,0x00000010,1228,,1418470998,3502308165
