frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,tcp.options.mptcp.rawdataack,tcp.options.mptcp.rawdataseqno
1529186265.565671000,192.168.43.236,118.190.155.212,43953,8000,0,0,0,0x00000002,,,,
1529186265.717728000,118.190.155.212,192.168.43.236,8000,43953,0,1,0,0x00000012,,0.152057000,,
1529186265.717796000,192.168.43.236,118.190.155.212,43953,8000,1,1,0,0x00000010,,0.000068000,,
1529186265.750568000,118.190.155.212,192.168.43.236,8000,43953,1,1,0,0x00000010,,,2212575744,
1529186265.751748000,118.190.155.212,192.168.43.236,8000,43953,1,1,1228,0x00000010,1228,,2212575744,35060712
1529186265.751805000,192.168.43.236,118.190.155.212,43953,8000,1,1229,0,0x00000010,,0.000057000,35061940,
1529186265.752502000,118.190.155.212,192.168.43.236,8000,43953,1229,1,1228,0x00000010,1228,,2212575744,35061940
1529186265.752559000,192.168.43.236,118.190.155.212,43953,8000,1,2457,0,0x00000010,,0.000057000,35063168,
1529186265.752625000,118.190.155.212,192.168.43.236,8000,43953,2457,1,1228,0x00000010,1228,,2212575744,35063168
1529186265.752655000,192.168.43.236,118.190.155.212,43953,8000,1,3685,0,0x00000010,,0.000030000,35064396,
1529186265.753068000,118.190.155.212,192.168.43.236,8000,43953,3685,1,1228,0x00000010,1228,,2212575744,35064396
1529186265.753126000,192.168.43.236,118.190.155.212,43953,8000,1,4913,0,0x00000010,,0.000058000,35065624,
1529186265.753176000,118.190.155.212,192.168.43.236,8000,43953,4913,1,1228,0x00000010,1228,,2212575744,35065624
1529186265.753212000,192.168.43.236,118.190.155.212,43953,8000,1,6141,0,0x00000010,,0.000036000,35066852,
1529186265.753519000,118.190.155.212,192.168.43.236,8000,43953,6141,1,1228,0x00000010,1228,,2212575744,35066852
1529186265.753576000,192.168.43.236,118.190.155.212,43953,8000,1,7369,0,0x00000010,,0.000057000,35068080,
1529186265.759502000,118.190.155.212,192.168.43.236,8000,43953,7369,1,1228,0x00000010,1228,,2212575744,35068080
1529186265.759559000,192.168.43.236,118.190.155.212,43953,8000,1,8597,0,0x00000010,,0.000057000,35069308,
1529186265.759503000,118.190.155.212,192.168.43.236,8000,43953,8597,1,1228,0x00000010,1228,,2212575744,35069308
1529186265.759592000,192.168.43.236,118.190.155.212,43953,8000,1,9825,0,0x00000010,,0.000089000,35070536,
1529186265.760208000,118.190.155.212,192.168.43.236,8000,43953,9825,1,1228,0x00000010,1228,,2212575744,35070536
1529186265.760264000,192.168.43.236,118.190.155.212,43953,8000,1,11053,0,0x00000010,,0.000056000,35071764,
1529186265.760553000,118.190.155.212,192.168.43.236,8000,43953,11053,1,1228,0x00000010,1228,,2212575744,35071764
1529186265.760594000,192.168.43.236,118.190.155.212,43953,8000,1,12281,0,0x00000010,,0.000041000,35072992,
1529186265.785542000,118.190.155.212,192.168.43.236,8000,43953,12281,1,1228,0x00000010,1228,,2212575744,35079132
1529186265.785593000,192.168.43.236,118.190.155.212,43953,8000,1,13509,0,0x00000010,,0.000051000,35080360,
1529186265.792550000,118.190.155.212,192.168.43.236,8000,43953,13509,1,1228,0x00000010,1228,,2212575744,35080360
1529186265.792610000,192.168.43.236,118.190.155.212,43953,8000,1,14737,0,0x00000010,,0.000060000,35081588,
1529186265.792554000,118.190.155.212,192.168.43.236,8000,43953,14737,1,1228,0x00000010,1228,,2212575744,35081588
1529186265.792643000,192.168.43.236,118.190.155.212,43953,8000,1,15965,0,0x00000010,,0.000089000,35082816,
1529186265.793149000,118.190.155.212,192.168.43.236,8000,43953,15965,1,1228,0x00000010,1228,,2212575744,35082816
1529186265.793207000,192.168.43.236,118.190.155.212,43953,8000,1,17193,0,0x00000010,,0.000058000,35084044,
1529186265.793634000,118.190.155.212,192.168.43.236,8000,43953,17193,1,1228,0x00000010,1228,,2212575744,35084044
1529186265.793687000,192.168.43.236,118.190.155.212,43953,8000,1,18421,0,0x00000010,,0.000053000,35085272,
1529186265.793635000,118.190.155.212,192.168.43.236,8000,43953,18421,1,1228,0x00000010,1228,,2212575744,35085272
1529186265.793721000,192.168.43.236,118.190.155.212,43953,8000,1,19649,0,0x00000010,,0.000086000,35086500,
1529186265.794883000,118.190.155.212,192.168.43.236,8000,43953,19649,1,1228,0x00000010,1228,,2212575744,35086500
1529186265.794948000,192.168.43.236,118.190.155.212,43953,8000,1,20877,0,0x00000010,,0.000065000,35087728,
1529186265.794884000,118.190.155.212,192.168.43.236,8000,43953,20877,1,1228,0x00000010,1228,,2212575744,35087728
1529186265.794979000,192.168.43.236,118.190.155.212,43953,8000,1,22105,0,0x00000010,,0.000095000,35088956,
1529186265.797394000,118.190.155.212,192.168.43.236,8000,43953,22105,1,1228,0x00000010,1228,,2212575744,35088956
1529186265.797443000,192.168.43.236,118.190.155.212,43953,8000,1,23333,0,0x00000010,,0.000049000,35090184,
1529186265.798046000,118.190.155.212,192.168.43.236,8000,43953,23333,1,1228,0x00000010,1228,,2212575744,35090184
1529186265.798127000,192.168.43.236,118.190.155.212,43953,8000,1,24561,0,0x00000010,,0.000081000,35091412,
1529186265.798435000,118.190.155.212,192.168.43.236,8000,43953,24561,1,1228,0x00000010,1228,,2212575744,35091412
1529186265.798455000,192.168.43.236,118.190.155.212,43953,8000,1,25789,0,0x00000010,,0.000020000,35092640,
1529186265.798705000,118.190.155.212,192.168.43.236,8000,43953,25789,1,1228,0x00000010,1228,,2212575744,35092640
1529186265.798724000,192.168.43.236,118.190.155.212,43953,8000,1,27017,0,0x00000010,,0.000019000,35093868,
1529186265.805239000,118.190.155.212,192.168.43.236,8000,43953,27017,1,1228,0x00000010,1228,,2212575744,35107376
1529186265.805287000,192.168.43.236,118.190.155.212,43953,8000,1,28245,0,0x00000010,,0.000048000,35100008,
1529186265.805344000,118.190.155.212,192.168.43.236,8000,43953,28245,1,1228,0x00000010,1228,,2212575744,35108604
1529186265.805368000,192.168.43.236,118.190.155.212,43953,8000,1,29473,0,0x00000010,,0.000024000,35100008,
1529186265.811189000,118.190.155.212,192.168.43.236,8000,43953,29473,1,1228,0x00000010,1228,,2212575744,35109832
1529186265.811254000,192.168.43.236,118.190.155.212,43953,8000,1,30701,0,0x00000010,,0.000065000,35100008,
1529186265.811276000,118.190.155.212,192.168.43.236,8000,43953,30701,1,1228,0x00000010,1228,,2212575744,35111060
1529186265.811360000,192.168.43.236,118.190.155.212,43953,8000,1,31929,0,0x00000010,,0.000084000,35101236,
1529186265.811277000,118.190.155.212,192.168.43.236,8000,43953,31929,1,1228,0x00000010,1228,,2212575744,35112288
1529186265.811399000,192.168.43.236,118.190.155.212,43953,8000,1,33157,0,0x00000010,,0.000122000,35102464,
1529186265.811278000,118.190.155.212,192.168.43.236,8000,43953,33157,1,1228,0x00000010,1228,,2212575744,35113516
1529186265.811417000,192.168.43.236,118.190.155.212,43953,8000,1,34385,0,0x00000010,,0.000139000,35102464,
1529186265.820240000,118.190.155.212,192.168.43.236,8000,43953,34385,1,1228,0x00000010,1228,,2212575744,35114744
1529186265.820286000,192.168.43.236,118.190.155.212,43953,8000,1,35613,0,0x00000010,,0.000046000,35115972,
1529186265.829885000,118.190.155.212,192.168.43.236,8000,43953,35613,1,1228,0x00000010,1228,,2212575744,35115972
1529186265.829929000,192.168.43.236,118.190.155.212,43953,8000,1,36841,0,0x00000010,,0.000044000,35117200,
1529186265.830010000,118.190.155.212,192.168.43.236,8000,43953,36841,1,1228,0x00000010,1228,,2212575744,35117200
